scale,absort,test,test_name,domain,subdomain,narrow,pass,verbal,timed,test_type,score_type,description
Writing Conveyance,nab_43,nab,NAB,Attention/Executive,Executive,Planning,Planning,Nonverbal,Untimed,npsych_test,t_score,A cohensive theme and conveyance when writing
List Learning Semantic Clusters,nab_57,nab,NAB,Attention/Executive,Executive,Organization,Planning,Verbal,Untimed,npsych_test,t_score,Number of semantically related clusters of words recalled during the List Learning task
List Learning Perseverations,nab_58,nab,NAB,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Untimed,npsych_test,t_score,Number of repeated responses or perseverations made during the List Learning task
List Learning Intrusions,nab_59,nab,NAB,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Untimed,npsych_test,t_score,Number of non-list words incorrectly recalled during the List Learning task
Figure Drawing Copy Organization,nab_92,nab,NAB,Attention/Executive,Executive,Organization,Planning,Nonverbal,Untimed,npsych_test,t_score,The organization of elements when copying a figure from a model
Figure Drawing Copy Fragmentation,nab_93,nab,NAB,Attention/Executive,Executive,Organization,Planning,Nonverbal,Untimed,npsych_test,t_score,The degree of fragmentation when copying a figure from a model
Figure Drawing Copy Planning,nab_94,nab,NAB,Attention/Executive,Executive,Planning,Planning,Nonverbal,Untimed,npsych_test,t_score,The planning involved in copying a figure from a model
Figure Drawing Immediate Recall Organization,nab_96,nab,NAB,Attention/Executive,Executive,Organization,Planning,Nonverbal,Untimed,npsych_test,t_score,The organization of elements when recalling and drawing a figure immediately after seeing it
Figure Drawing Immediate Recall Fragmentation,nab_97,nab,NAB,Attention/Executive,Executive,Organization,Planning,Nonverbal,Untimed,npsych_test,t_score,The degree of fragmentation when recalling and drawing a figure immediately after seeing it
Figure Drawing Immediate Recall Planning,nab_98,nab,NAB,Attention/Executive,Executive,Planning,Planning,Nonverbal,Untimed,npsych_test,t_score,The planning involved in recalling and drawing a figure immediately after seeing it
Map Reading,nab_100,nab,NAB Daily Living,Daily Living,Everyday Spatial,Everyday Spatial,Planning,Nonverbal,Untimed,npsych_test,t_score,The ability to understand and interpret map information
Judgment,nab_102,nab,NAB Daily Living,Daily Living,Everyday Executive,Everyday Executive,Knowledge,Verbal,Untimed,npsych_test,t_score,Judgment and decision-making in everyday situations
Driving Scenes,nab_24,nab,NAB Daily Living,Daily Living,Everyday Attention,Everyday Attention,Attention,NA,Timed,npsych_test,t_score,"A test of visual scanning, attention to detail, and selective attention requiring the patient to view a series of successive driving scenes (as viewed from behind a steering wheel) and then indicate subtle changes of what was new, different, or missing relative to the previously viewed scene"
Bill Payment,nab_44,nab,NAB Daily Living,Daily Living,Everyday Language,Everyday Language,Planning,NA,Untimed,npsych_test,t_score,"Performance on a bill payment task in which the patient was presented with a utility bill statement, check ledger, check, and envelope, and asked to follow a series of commands requiring oral and written responses of increasing complexity"
Daily Living Memory Immediate Recall,nab_78,nab,NAB Daily Living,Daily Living,Everyday Memory,Everyday Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of daily living tasks recalled immediately after presentation
Daily Living Memory Delayed Recall,nab_79,nab,NAB Daily Living,Daily Living,Everyday Memory,Everyday Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of daily living tasks recalled after a delay
Daily Living Memory Retention,nab_80,nab,NAB Daily Living,Daily Living,Everyday Memory,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,The percentage of daily living tasks retained over time compared to the initial recall
Daily Living Memory Delayed Recognition,nab_81,nab,NAB Daily Living,Daily Living,Everyday Memory,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of daily living tasks correctly recognized after a delay
Daily Living Memory Recall vs. Recognition,nab_82,nab,NAB Daily Living,Daily Living,Everyday Memory,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,A comparison of the number of daily living tasks recalled versus those recognized
Medication Instructions Immediate Recall,nab_83,nab,NAB Daily Living,Daily Living,Everyday Memory,Everyday Memory,Attention,Verbal,Untimed,npsych_test,t_score,The number of medication instructions recalled immediately after presentation
Medication Instructions Delayed Recall,nab_84,nab,NAB Daily Living,Daily Living,Everyday Memory,Everyday Memory,Attention,Verbal,Untimed,npsych_test,t_score,The number of medication instructions recalled after a delay
Medication Instructions Delayed Recognition,nab_85,nab,NAB Daily Living,Daily Living,Everyday Memory,Recognition Memory,Attention,Verbal,Untimed,npsych_test,t_score,The number of medication instructions correctly recognized after a delay
Name/Address/Phone Immediate Recall,nab_86,nab,NAB Daily Living,Daily Living,Everyday Memory,Everyday Memory,Attention,Verbal,Untimed,npsych_test,t_score,"The number of details about a name, address, and phone number recalled immediately after presentation"
Name/Address/Phone Delayed Recall,nab_87,nab,NAB Daily Living,Daily Living,Everyday Memory,Everyday Memory,Attention,Verbal,Untimed,npsych_test,t_score,"The number of details about a name, address, and phone number recalled after a delay"
Name/Address/Phone Delayed Recognition,nab_88,nab,NAB Daily Living,Daily Living,Everyday Memory,Recognition Memory,Attention,Verbal,Untimed,npsych_test,t_score,"The number of details about a name, address, and phone number correctly recognized after a delay"
Total NAB Index (T-NAB),nab_06,nab,NAB,General Cognitive Ability,Neurocognition,Neurocognitive Index,NA,NA,NA,npsych_test,standard_score,"An omnibus measure of neuropsychological functioning (independent of general intelligence) in the domains of attentional and executive functioning, language processing, visuospatial processing, and learning and memory"
Memory Index (MEM),nab_03,nab,NAB,Memory,Memory,Memory Index,NA,NA,NA,npsych_test,standard_score,A composite measure of the examinee's verbal and visual memory functioning
List Learning List A Trial 1 Immediate Recall,nab_45,nab,NAB,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled on the first trial of a list-learning task
List Learning List A Trial 2 Immediate Recall,nab_46,nab,NAB,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled on the second trial of a list-learning task
List Learning List A Trial 3 Immediate Recall,nab_47,nab,NAB,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled on the third trial of a list-learning task
List Learning List A Immediate Recall,nab_48,nab,NAB,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled immediately after all learning trials of List A
List Learning List B Immediate Recall,nab_49,nab,NAB,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,t_score,"Total words recalled immediately after a single presentation of List B, an interference list"
List Learning List A Short Delayed Recall,nab_50,nab,NAB,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled after a short delay following the initial learning trials of List A
List Learning List A Long Delayed Recall,nab_51,nab,NAB,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,t_score,Total words recalled after a long delay following the initial learning trials of List A
List Learning List A Percent Retention,nab_52,nab,NAB,Memory,Attention,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,"Percentage of words retained from List A after a delay, calculated as the ratio of words recalled after the delay to the words recalled immediately"
List Learning List A Long Delayed Forced-Choice Recognition,nab_53,nab,NAB,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,t_score,"Number of words correctly recognized from List A after a long delay, using a forced-choice format"
List Learning List A Long Delayed Forced-Choice Recognition False Alarms,nab_54,nab,NAB,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,t_score,"Number of false alarms, or incorrect recognitions, in the forced-choice recognition task for List A after a long delay"
List Learning List A Discriminability Index,nab_55,nab,NAB,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,t_score,Measure of the ability to distinguish between target and non-target words in the forced-choice recognition task for List A after a long delay
List Learning List A Recall vs. Recognition Index,nab_56,nab,NAB,Memory,Executive,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,A comparison of the number of daily living tasks recalled versus those recognized
Shape Learning Trial 1 Immediate Recognition,nab_60,nab,NAB,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized on the first trial of a shape-learning task
Shape Learning Trial 2 Immediate Recognition,nab_61,nab,NAB,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized on the second trial of a shape-learning task
Shape Learning Trial 3 Immediate Recognition,nab_62,nab,NAB,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized on the third trial of a shape-learning task
Shape Learning Immediate Recognition,nab_63,nab,NAB,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized immediately after all learning trials
Shape Learning Delayed Recognition,nab_64,nab,NAB,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized after a delay following the initial learning trials
Shape Learning Percent Retention,nab_65,nab,NAB,Memory,Attention,Rapid Forgetting,Simultaneous,Nonverbal,Untimed,npsych_test,percentile,"Percentage of shapes retained after a delay, calculated as the ratio of shapes recognized after the delay to the shapes recognized immediately"
Shape Learning Delayed Forced-Choice Recognition,nab_66,nab,NAB,Memory,Delayed Recall,Recognition Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Number of shapes correctly recognized after a delay using a forced-choice format
Shape Learning Delayed Forced-Choice Recognition False Alarms,nab_67,nab,NAB,Memory,Delayed Recall,Recognition Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,"Number of false alarms, or incorrect recognitions, in the forced-choice recognition task after a delay"
Shape Learning Discriminability Index,nab_68,nab,NAB,Memory,Delayed Recall,Recognition Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Measure of the ability to distinguish between target and non-target shapes in the forced-choice recognition task after a delay
Story Learning Trial 1 Phrase Unit Immediate Recall,nab_69,nab,NAB,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of important phrases recalled from the story on the first attempt
Story Learning Trial 2 Phrase Unit Immediate Recall,nab_70,nab,NAB,Memory,Attention,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,The number of important phrases recalled from the story on the second attempt
Story Learning Phrase Unit Immediate Recall,nab_71,nab,NAB,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of important phrases recalled immediately after hearing the entire story
Story Learning Thematic Unit Immediate Recall,nab_72,nab,NAB,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of key ideas or themes recalled immediately after hearing the entire story
Story Learning Trial 1 Thematic Unit Immediate Recall,nab_73,nab,NAB,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of key ideas or themes recalled from the story on the first attempt
Story Learning Trial 2 Thematic Unit Immediate Recall,nab_74,nab,NAB,Memory,Attention,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,The number of key ideas or themes recalled from the story on the second attempt
Story Learning Phrase Unit Delayed Recall,nab_75,nab,NAB,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,"The number of important phrases recalled after a delay, without hearing the story again"
Story Learning Thematic Unit Delayed Recall,nab_76,nab,NAB,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,"The number of key ideas or themes recalled after a delay, without hearing the story again"
Story Learning Phrase Unit Percent Retention,nab_77,nab,NAB,Memory,Attention,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,The percentage of important phrases retained after a delay compared to the initial recall immediately after hearing the story
Figure Drawing Immediate Recall,nab_95,nab,NAB,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,The accuracy of recalling and drawing a figure immediately after seeing it
Figure Drawing Percent Retention,nab_99,nab,NAB,Memory,Attention,Rapid Forgetting,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,The percentage of the figure retained and accurately redrawn after a delay
Language Index (LAN),nab_02,nab,NAB,Verbal/Language,Language,Language Index,NA,NA,NA,npsych_test,standard_score,"A composite language measure of the patient's ability to access and apply acquired word knowledge, to verbalize meaningful concepts, think about verbal information, and express themself using words fell in the Average classification range."
Oral Production,nab_25,nab,NAB,Verbal/Language,Expression,Verbal Expression,Sequential,Verbal,Untimed,npsych_test,t_score,Timed oral productivity and the ability to generate descriptive components of a picture of a family scene on a task requiring initiating and sustaining verbal behavior
Auditory Comprehension,nab_26,nab,NAB,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,t_score,"Auditory comprehension (i.e., the ability to receive, process, and execute oral instructions of increasing syntactic complexity)"
Auditory Comprehension Colors,nab_27,nab,NAB,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,base_rate,Auditory comprehnsion colors
Auditory Comprehension Shapes,nab_28,nab,NAB,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,base_rate,Auditory comprehension paper shapes
Auditory Comprehension Colors/Shapes/Numbers,nab_29,nab,NAB,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,base_rate,Auditory comprehension colors/shapes/numbers
Auditory Comprehension Pointing,nab_30,nab,NAB,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,t_score,Auditory comprehension pointing
Auditory Comprehension Yes/No,nab_31,nab,NAB,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,t_score,Auditory comprehension yes/no
Auditory Comprehension Paper Folding,nab_32,nab,NAB,Verbal/Language,Comprehension,Listening Ability,Attention,Verbal,Untimed,npsych_test,t_score,Auditory comprehension paper folding
Naming,nab_33,nab,NAB,Verbal/Language,Expression,Expressive Vocabulary,Knowledge,Verbal,Untimed,npsych_test,t_score,Word-finding ability and retrieval fluency on a confrontation naming task
Naming Semantic Cuing,nab_34,nab,NAB,Verbal/Language,Expression,Expressive Vocabulary,Knowledge,Verbal,Untimed,npsych_test,base_rate,Picture naming semantic cuing
Naming Phonemic Cuing,nab_35,nab,NAB,Verbal/Language,Expression,Expressive Vocabulary,Knowledge,Verbal,Untimed,npsych_test,base_rate,Picture naming phonemic cuing
Reading Comprehension,nab_36,nab,NAB,Verbal/Language,Comprehension,Reading Comprehension,Sequential,Verbal,Untimed,npsych_test,t_score,"Reading comprehension, which the patient was shown a photograph of an object along with six printed words (five foil words and the sixth word that correctly named the object), requiring them to point to the correct word, and then presented with a photograph of a scene involving one or more people engaged in an activity with four printed sentences (three foil sentences and the fourth sentence correctly describing the photograph), requiring them to point to the correct sentence"
Reading Comprehension Words,nab_37,nab,NAB,Verbal/Language,Comprehension,Reading Comprehension,Sequential,Verbal,Untimed,npsych_test,t_score,Reading comprehension for words
Reading Comprehension Sentences,nab_38,nab,NAB,Verbal/Language,Comprehension,Reading Comprehension,Sequential,Verbal,Untimed,npsych_test,t_score,Reading comprehension for sentences
Writing,nab_39,nab,NAB,Verbal/Language,Expression,Written Expression,Sequential,Nonverbal,Untimed,npsych_test,t_score,On a measure of narrative writing in which the patient was shown the same colorful picture of a family scene used in the oral production test and then asked to write about the scene
Spatial Index (SPT),nab_04,nab,NAB,Visual Perception/Construction,Spatial,Visuospatial Index,Simultaneous,Nonverbal,NA,npsych_test,standard_score,"A composite screening measure of visuoperceptual skills, attention to detail, and visuoconstructional skills"
Visual Discrimination,nab_89,nab,NAB,Visual Perception/Construction,Perception,Visuoperception,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,"Perceptual processing, discrimination, and pattern matching of a series of abstract images requiring close attention to visual detail"
Design Construction,nab_90,nab,NAB,Visual Perception/Construction,Construction,Figure Construction,Simultaneous,Nonverbal,Timed,npsych_test,t_score,Constructing and recreating abstract visual designs (tangrams) from a model using flat polygons (tans) to reproduce each stimulus
Figure Drawing Copy,nab_91,nab,NAB,Visual Perception/Construction,Organization,Figure Copy,Planning,Nonverbal,Untimed,npsych_test,t_score,The accuracy of copying a figure from a model
Orientation,nabs2_00,nabs,NAB-S,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,npsych_test,percentile,"Orientation to person, place, time, and situation"
Digits Forward,nabs2_01,nabs,NAB-S,Attention/Executive,Attention,Attention Span,Attention,Verbal,Untimed,npsych_test,t_score,"Auditory attentional capacity, or how much information can be processed at once"
Digits Forward Longest Span,nabs2_02,nabs,NAB-S,Attention/Executive,Attention,Attention Span,Attention,Verbal,Untimed,npsych_test,raw_score,Auditory attentional capacity
Digits Backward,nabs2_03,nabs,NAB-S,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Untimed,npsych_test,t_score,A measure of both attentional capacity and working memory
Digits Backward Longest Span,nabs2_04,nabs,NAB-S,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Untimed,npsych_test,raw_score,Working memory for orally presented information
Numbers & Letters Part A Speed,nabs2_05,nabs,NAB-S,Attention/Executive,Processing Speed,Psychomotor Speed,Attention,Nonverbal,Timed,npsych_test,t_score,Psychomotor speed
Numbers & Letters Part A Errors,nabs2_06,nabs,NAB-S,Attention/Executive,Attention,Response Monitoring,Attention,Nonverbal,Timed,npsych_test,t_score,"A marker of reduced focus, or selective attention, distractibility, or reduced concentration, and diminished sustained attention"
Numbers & Letters Part A Efficiency,nabs2_07,nabs,NAB-S,Attention/Executive,Processing Speed,Cognitive Efficiency,Attention,Nonverbal,Timed,npsych_test,t_score,An overall measure of efficiency in performing a selective attention letter cancellation task
Numbers & Letters Part B Efficiency,nabs2_08,nabs,NAB-S,Attention/Executive,Attention,Attentional Fluency,Attention,Nonverbal,Timed,npsych_test,t_score,"Performance on a complex measure of divided attention, information processing speed, and inhibition"
Mazes,nabs6_01,nabs,NAB-S,Attention/Executive,Executive,Planning,Planning,Nonverbal,Timed,npsych_test,t_score,"Planning and foresight, inhibition, and psychomotor speed examined through a series of maze-tracing tasks"
Word Generation,nabs6_02,nabs,NAB-S,Attention/Executive,Executive,Generativity,Sequential,Verbal,Timed,npsych_test,t_score,"Retrieval fluency, ideational fluency, and generativity"
Word Generation Perseverations,nabs6_03,nabs,NAB-S,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Timed,npsych_test,percentile,Self-monitoring and perseverative tendencies
NAB Total Index,nabs1,nabs,NAB-S,General Cognitive Ability,Neurocognition,Neurocognitive Index,,,,npsych_test,standard_score,"A comprehensive measure of neuropsychological functioning (independent of general intelligence) in the domains of attentional and executive functioning, language, spatial processing, and memory"
NAB Attention Index,nabs2,nabs,NAB-S,General Cognitive Ability,Attention,Attention Index,Attention,,,npsych_test,standard_score,An overall screening measure of the examinee's attentional functioning
NAB Language Index,nabs3,nabs,NAB-S,General Cognitive Ability,Language,Language Index,,Verbal,,npsych_test,standard_score,A composite screening measure of language comprehension and word-finding abilities
NAB Memory Index,nabs4,nabs,NAB-S,General Cognitive Ability,Memory,Memory Index,,,,npsych_test,standard_score,A composite measure of the examinee's verbal and visual memory functioning
NAB Spatial Index,nabs5,nabs,NAB-S,General Cognitive Ability,Spatial,Visuospatial Index,,Nonverbal,,npsych_test,standard_score,"A composite screening measure of visuoperceptual skills, attention to detail, and visuoconstructional skills"
NAB Executive Functions Index,nabs6,nabs,NAB-S,General Cognitive Ability,Executive,Executive Index,,,,npsych_test,standard_score,"A composite measure of executive skills involving planning, inhibition, speed/fluency, and generativity"
Shape Learning Immediate Recognition,nabs4_01,nabs,NAB-S,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Learning and recognition of visual material (abstract shapes)
Shape Learning Delayed Recognition,nabs4_02,nabs,NAB-S,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Recognition of the target visual material among nontarget distractors after a delay period
Shape Learning Percent Retention,nabs4_03,nabs,NAB-S,Memory,Attention,Rapid Forgetting,Simultaneous,Nonverbal,Untimed,npsych_test,percentile,"Percentage of visual detail retained over time, scaled to how much was initially learned"
Story Learning Immediate Recall,nabs4_04,nabs,NAB-S,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,Performance on a more complex one-trial verbal learning and recall task (story learning)
Story Learning Delayed Recall,nabs4_05,nabs,NAB-S,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,Delayed recall of the story details over time
Story Learning Percent Retention,nabs4_06,nabs,NAB-S,Memory,Attention,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,percentile,"The percentage of story detail retained over time, scaled to how much was initially learned"
Auditory Comprehension,nabs3_01,nabs,NAB-S,Verbal/Language,Listening Ability,Auditory Comprehension,Sequential,Verbal,Untimed,npsych_test,t_score,"Auditory comprehension (i.e., the ability to receive, process, and execute oral instructions of increasing syntactic complexity)"
Naming,nabs3_02,nabs,NAB-S,Verbal/Language,Word Retrieval,Naming,Knowledge,Verbal,Untimed,npsych_test,t_score,Screening of word-finding ability and retrieval fluency on a confrontation naming task
Design Construction,nabs5_01,nabs,NAB-S,Visual Perception/Construction,Construction,Figure Construction,Simultaneous,Nonverbal,Timed,npsych_test,t_score,Constructing and recreating abstract visual designs (tangrams) from a model using flat polygons (tans) to reproduce each stimulus
Visual Discrimination,nabs5_02,nabs,NAB-S,Visual Perception/Construction,Perception,Visual Processing,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,"Perceptual processing, discrimination, and pattern matching of a series of abstract images requiring close attention to visual detail"
Design Fluency,,nepsy2,NEPSY-2,Attention/Executive,Generativity,Nonverbal Fluency,Sequential,Nonverbal,Timed,npsych_test,scaled_score,The patient's ability to generate novel designs while following specific rules within a time limit
Sentence Repetition,,nepsy2,NEPSY-2,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Untimed,npsych_test,scaled_score,Ability to repeat sentences of increasing complexity and length
Statue,,nepsy2,NEPSY-2,Attention/Executive,Executive,Cognitive Control,Attention,Nonverbal,Timed,npsych_test,scaled_score,Motor persistence and inhibition
Statue-Body Movement,,nepsy2,NEPSY-2,Attention/Executive,Executive,Cognitive Control,Attention,Nonverbal,Timed,npsych_test,scaled_score,Motor persistence and inhibition (body)
Statue-Eye Opening,,nepsy2,NEPSY-2,Attention/Executive,Executive,Cognitive Control,Attention,Nonverbal,Timed,npsych_test,scaled_score,Motor persistence and inhibition (eye opening)
Statue-Vocalization,,nepsy2,NEPSY-2,Attention/Executive,Executive,Cognitive Control,Attention,Nonverbal,Timed,npsych_test,scaled_score,Motor persistence and inhibition (vocalization)
Narrative Memory Recall,,nepsy2,NEPSY-2,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,"Narrative memory learning under free recall, cued recall, and recognition conditions"
Narrative Memory Recognition,,nepsy2,NEPSY-2,Memory,Recognition Memory,Story Memory Recognition,Sequential,Verbal,Untimed,npsych_test,scaled_score,Story memory recognition
Imitating Hand Positions,,nepsy2,NEPSY-2,Motor,Graphomotor Control,Graphomotor Control,Simultaneous,Nonverbal,Untimed,npsych_test,scaled_score,Ability to imitate hand and finger positions
Imitating Hand Positions-Dominant,,nepsy2,NEPSY-2,Motor,Graphomotor Control,Graphomotor Control,Simultaneous,Nonverbal,Untimed,npsych_test,scaled_score,Ability to imitate hand and finger positions (dominant hand)
Imitating Hand Positions-Nondominant,,nepsy2,NEPSY-2,Motor,Graphomotor Control,Graphomotor Control,Simultaneous,Nonverbal,Untimed,npsych_test,scaled_score,Ability to imitate hand and finger positions (nondominant hand)
Visuomotor Precision,,nepsy2,NEPSY-2,Motor,Graphomotor Speed,Graphomotor Speed,Sequential,Nonverbal,Timed,npsych_test,scaled_score,Graphomotor speed and accuracy
Visuomotor Precision Completion Time,,nepsy2,NEPSY-2,Motor,Graphomotor Speed,Graphomotor Speed,Sequential,Nonverbal,Timed,npsych_test,scaled_score,Graphomotor speed and accuracy (time)
Visuomotor Precision Errors,,nepsy2,NEPSY-2,Motor,Graphomotor Speed,Graphomotor Speed,Attention,Nonverbal,Timed,npsych_test,scaled_score,Graphomotor speed and accuracy (errors)
Visuomotor Precision Pencil Lifts,,nepsy2,NEPSY-2,Motor,Graphomotor Speed,Graphomotor Speed,Attention,Nonverbal,Timed,npsych_test,scaled_score,Graphomotor speed and accuracy (pencil lifts
Affect Recognition,,nepsy2,NEPSY-2,Social Cognition,Emotion,Affect Recognition,Simultaneous,Verbal,Untimed,npsych_test,scaled_score,Ability to recognize affect from photographs of children's faces in four different tasks
Affect Recognition Neutral Errors,,nepsy2,NEPSY-2,Social Cognition,Emotion,Affect Recognition,Simultaneous,Verbal,Untimed,npsych_test,scaled_score,Ability to recognize neutral affect
Theory of Mind,,nepsy2,NEPSY-2,Social Cognition,Social Perception,Theory of Mind,Sequential,Verbal,Untimed,npsych_test,scaled_score,Ability to understand mental functions and another s point of view
Theory of Mind Verbal,,nepsy2,NEPSY-2,Social Cognition,Social Perception,Theory of Mind,Sequential,Verbal,Untimed,npsych_test,scaled_score,Ability to understand mental functions and another's point of view (verbal)
Body Part Identification,,nepsy2,NEPSY-2,Verbal/Language,Knowledge,Acquired Knowledge,Simultaneous,Verbal,Untimed,npsych_test,scaled_score,Correctly identifying body parts
Body Part Naming,,nepsy2,NEPSY-2,Verbal/Language,Word Retrieval,Naming,Simultaneous,Verbal,Untimed,npsych_test,scaled_score,Correctly naming body parts
Oromotor Sequences,,nepsy2,NEPSY-2,Verbal/Language,Speech,Speech Articulation,Sequential,Verbal,Untimed,npsych_test,scaled_score,Oromotor coordination in repeating articulatory sequences
Word Generation-Initial Letter,,nepsy2,NEPSY-2,Verbal/Language,Fluency,Phonemic Fluency,Sequential,Verbal,Timed,npsych_test,scaled_score,The patient's ability to generate words that fit a specific phonemic category within a time limit
Word Generation-Semantic,,nepsy2,NEPSY-2,Verbal/Language,Fluency,Semantic Fluency,Knowledge,Verbal,Timed,npsych_test,scaled_score,The patient's ability to generate words within specific semantically-related categories
Design Copying,,nepsy2,NEPSY-2,Visual Perception/Construction,Organization,Visuomotor Integration,Planning,Nonverbal,Untimed,npsych_test,scaled_score,The ability to copy 2-dimensional geometric figures
Inattention (INATTN) Index,,pai,PAI,ADHD,Attention,Inattention,,,,rating_scale,t_score,A proxy measure of attention problems based on personality traits
Affective Instability,,pai,PAI,Personality Disorders,Borderline Personality,Borderline Personality Disorder,,,,rating_scale,t_score,"a propensity to experience a particular negative affect (anxiety, depression, or anger is the typical response)"
Antisocial Behaviors,,pai,PAI,Personality Disorders,Antisocial Personality,Antisocial Personality Disorder,,,,rating_scale,t_score,scores suggest a history of difficulties with authority and with social convention
Antisocial Features,,pai,PAI,Personality Disorders,Antisocial Personality,Antisocial Personality Disorder,,,,rating_scale,t_score,"individuals are likely to be impulsive and hostile, perhaps with a history of reckless and/or antisocial acts"
Borderline Features,,pai,PAI,Personality Disorders,Borderline Personality,Borderline Personality Disorder,,,,rating_scale,t_score,behaviors typically associated with borderline personality disorder
Egocentricity,,pai,PAI,Personality Disorders,Antisocial Personality,Antisocial Personality Disorder,,,,rating_scale,t_score,suggest a person who tends to be self-centered and pragmatic in interaction with others
Identity Problems,,pai,PAI,Personality Disorders,Borderline Personality,Borderline Personality Disorder,,,,rating_scale,t_score,suggest uncertainty about major life issues and difficulties in developing and maintaining a sense of purpose
Negative Relationships,,pai,PAI,Personality Disorders,Borderline Personality,Borderline Personality Disorder,,,,rating_scale,t_score,person is likely to be bitter and resentful about the way past relationships have gone
Self-Harm,,pai,PAI,Personality Disorders,Borderline Personality,Borderline Personality Disorder,,,,rating_scale,t_score,reflect levels of impulsivity and recklessness that become more hazardous as scores rise
